DBSFG1, 04/13/24,INC,REP,E(WM0106) 00 2022-23 RWADA,F(WM0111) 00 2021 ACTUAL VALUATION/2022-23 RWADA,G(NO0090) 05 TR AR: 1.01-(.46*AV/RWADA WLTH RATIO),H(WM0126) 00 2022-23 RESIDENT PUB+NONPUB ENROLLMENT,I(WM0131) 00 2021 AV/2022-23 RES PUB+NONPUB ENRLMT,J(NO0091) 05 TRANS ENRL AR: 1.01-(.46*EWR),K(WM0184) 05 STATE SHARING RATIO (SSR),L(NO0094) 05 22-23 ENR/SQ MILE,M(NO0095) 05 TRANS SPARSTY ADJ:(21 - 22-23ENR/SQ MI)/317.88,"N(NO0075) 05 24-25 SEL TRANSP AID RATIO,.9 MAX,.065 MIN","O(NO0074) 00 TRANS NON-CAP EXP W/O SUMMR,S.3627FOR 24-25 AID",P(E10074) 00 TRANS SEC 3627 TOTAL EXPENDITURES,Q(E10037) 00 TRANS CAPITAL NEW BUS PURCHASE EXP,R(E10038) 00 TRANS CAPITAL NEW LEASE EXPENDITURE,S(E10036) 00 TRANS CAPITAL NEW EQUIPMENT EXPENDITURE,T(NO0040) 00 SUMMER TRANS NON-CAPITAL EXP FOR 24-25 AID,U(NO0106) 00 2024-25 TRANSP AID ON NON-CAPITAL EXPENDITURES,V(NO0079) 00 2024-25 TRANSP AID ON CAPITAL EXPENDITURES,"W(K20133) 00 2022-23 PUBLIC ENROLLMENT, ATTN, DUPLICATED",X(PK0155) 00 2023-24 MAX TPK AID,Y(PK0151) 00 2023-24 90M FED UPK EXP GRANT,Z(PK0153) 00 2023-24 15M SUFDPK EXP GRANT,AA(PK0162) 00 2023-24 100M UPK EXP GRANT,AB(PK0159) 00 2023-24 25M SUFDPK EXP GRANT,AC(PK0111) 00 2023-24 MAX SUFDPK AID(1415),AD(FL0006) 00 2023-24 MAX UPK AID,AE(CL0014) 00 2023-24 PAYABLE UPK AID,AF(FL0018) 05 3 YR. DIRECT CERTIFICATION AVERAGE
512201,NORWOOD NORFOL,1,0,985,"286,467",0.884,970,"290,897",0.866,0.900,11.153,0.030,0.900,"1,412,445",0,"367,294",0,"12,676",0,"1,271,201","341,973",949,0,0,0,"253,173",0,0,"564,716","491,302",0.49548
512300,OGDENSBURG,1,0,"1,474","266,527",0.893,"1,411","278,428",0.872,0.900,57.768,0.000,0.900,"1,304,160",0,"233,679",0,"13,629",0,"1,173,744","222,577","1,421",0,0,0,0,0,0,"551,880","551,880",0.50466
512404,HEUVELTON,1,0,550,"364,780",0.849,757,"265,032",0.878,0.900,4.685,0.051,0.900,"714,059",0,"112,899",0,0,"57,141","642,653","101,609",534,0,0,0,0,0,0,"99,852","99,852",0.3926
512501,PARISHVILLE,1,0,351,"755,043",0.676,344,"770,407",0.627,0.576,1.544,0.061,0.788,"868,212",0,"173,841",0,0,"21,346","684,151","136,987",339,0,0,0,0,0,0,"82,911","82,911",0.36031
512902,POTSDAM,1,0,"1,266","497,595",0.790,"1,260","499,965",0.762,0.703,13.105,0.024,0.900,"1,665,041",0,"318,007",0,0,"3,211","1,498,537","286,206","1,253",0,0,0,0,0,0,"326,734","290,061",0.33389
513102,EDWARDS-KNOX,1,0,499,"426,846",0.821,481,"442,820",0.790,0.894,1.935,0.059,0.900,"1,307,525",0,"300,338",0,"6,109","46,785","1,176,773","275,802",491,0,0,0,0,0,0,"316,780","294,152",0.46729
520101,BURNT HILLS,1,0,"3,260","646,780",0.724,"3,174","664,305",0.680,0.552,61.600,0.000,0.724,"4,022,391",0,"779,233",0,"3,737",590,"2,912,211","566,870","3,093",0,"378,000",0,"361,800",0,0,"583,200",0,0.14826
520302,SHENENDEHOWA,1,0,"9,768","824,655",0.645,"10,098","797,705",0.613,0.434,125.623,0.000,0.645,"16,015,185",0,"971,022",0,"20,539",0,"10,329,794","639,557","9,420",0,"988,200",0,"1,015,200",0,0,"1,344,600",0,0.17317
520401,CORINTH,1,0,"1,129","713,039",0.694,"1,089","739,230",0.642,0.608,14.182,0.021,0.788,"1,412,881",0,"192,469",0,0,"34,654","1,113,350","151,666","1,047",0,"165,232",0,"421,745",0,0,"436,192","436,192",0.42432
520601,EDINBURG,1,0,115,"4,383,460",-0.933,103,"4,894,155",-1.428,0.000,0.460,0.064,0.065,"333,206",0,0,0,0,0,"21,658",0,44,0,0,0,0,0,0,0,0,0.48437
520701,GALWAY,1,0,806,"978,556",0.577,814,"968,938",0.528,0.422,7.893,0.041,0.618,"1,575,641",0,"182,121",0,"3,681",0,"973,746","114,826",782,0,"109,760",0,"184,230",0,0,"184,230","159,666",0.30072
521200,MECHANICVILLE,1,0,"1,342","704,293",0.699,"1,375","687,389",0.668,0.587,70.573,0.000,0.741,"1,628,885",0,"219,768",0,"15,303",0,"1,207,004","174,188","1,327",0,"190,707",0,0,0,0,"122,492",0,0.39298
521301,BALLSTON SPA,1,0,"4,017","815,230",0.649,"4,078","803,035",0.611,0.483,67.667,0.000,0.649,"5,914,819",0,"670,139",0,"13,779","51,667","3,838,718","443,863","3,916",0,"182,952",0,"382,536",0,0,"1,143,569","758,163",0.31141
521401,S. GLENS FALLS,1,1,"2,910","743,898",0.681,"2,906","744,922",0.640,0.561,42.863,0.000,0.708,"3,821,278",0,"627,273",0,"1,394",0,"2,705,465","445,096","2,822",0,0,0,0,0,0,"725,384","725,384",0.31997
521701,SCHUYLERVILLE,1,0,"1,436","725,435",0.689,"1,415","736,202",0.644,0.409,17.555,0.010,0.699,"1,652,523",0,0,"308,436","3,865",0,"1,155,114","218,298","1,372",0,"250,848",0,"306,592",0,0,"306,592",0,0.25108
521800,SARATOGA SPRIN,1,0,"6,179","1,367,774",0.404,"6,462","1,307,873",0.359,0.241,53.090,0.000,0.404,"8,172,295",0,"1,127,241",0,"24,926","71,380","3,301,607","465,475","5,969",0,"421,200",0,"734,400",0,0,"1,258,526","604,960",0.22768
