DBSFI1, 04/13/24,INC,REP,E(NO0708) 00 BLDG LEASE AID,F(NO0709) 00 BLDG AMORT-RETRO AID,G(NO0710) 00 BLDG AMORT-PROSP AID,H(NO0707) 00 BLDG AMORT-CAP OUTLAY AID,I(NO0711) 00 BLDG 2023 DEFERD JULY AID,J(NO0715) 00 BLDG 2022 DEFERD JULY AID,K(NO0712) 00 BLDG NYC UNCONFIRMED  AID,L(NO0713) 00 BLDG REFUND/REFIN AID (A.R.),M(NO0568) 00 BLDG AID ON 3 CAP OUTLAY EXCEPTIONS,"N(NO0572) 00 BLDG AID ON METAL DETECTORS,ETC.",O(NO0569) 00 BLDG EXP FOR BLDG CONDITION SURVEYS,P(NO0570) 05 BLDG CONDITION SURVEY AID RATIO,Q(NO0571) 00 BLDG AID FOR BLDG CONDITION SURVEYS,R(NO0573) 00 BLDG AID DUE SPECIAL LEGISLATION,S(NO0468) 00 CHAPTER 97 POTENTIAL EXPENDITURES,T(NO0540) 00 CHAPTER 97 POTENTIAL AID,U(A10117) 00 -BLDG AID 23-24 DEFERRED TO 2024-25 (NYC),V(A20117) 00 +BLDG AID 22-23 DEFERRED TO 2023-24 (NYC),W(NO0719) 00 REORG INCENTIVE NET EXPENDITURES,X(NO0720) 00 REBL AMORT (PROSP)  EXPENDITURES,Y(NO0721) 00 REBL DEFERRED JULY  EXPENDITURES,Z(NO0723) 00 REORG INCENTIVE NET AID,AA(NO0724) 00 REBL AMORT (PROSP)  AID,AB(NO0725) 00 REBL DEFERRED JULY  AID,AC(FA0153) 00 24-25 BLDG AID DEFERRED TO 7/24,AD(FA0154) 00 23-24 BLDG AID DEFERRED TO 7/23,AE(CL0014) 00 2023-24 PAYABLE UPK AID
050701,SOUTHERN CAYUG,1,0,0,0,"1,018,440",0,0,0,0,0,"81,200",0,0,0.712,0,0,0,0,0,0,0,0,0,0,0,0,0,"331,950","116,824"
051101,PORT BYRON,1,0,0,0,"1,373,793",0,0,0,0,0,"86,500","30,275",0,0.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"191,853"
051301,MORAVIA,1,0,0,0,"1,441,318",0,0,0,0,0,"83,600",0,"25,000",0.736,"18,400",0,0,0,0,0,0,0,0,0,0,0,0,0,"315,948"
051901,UNION SPRINGS,1,0,0,0,"1,451,030",0,0,0,0,0,0,"24,640",0,0.685,0,0,"66,800","52,438",0,0,0,0,0,0,0,0,0,"11,263",0
060201,SOUTHWESTERN,1,0,0,"243,555","2,221,614","3,266",0,0,0,"16,677","84,100",0,0,0.741,0,0,"1,405,560","1,182,076",0,0,0,0,0,0,0,0,0,0,"261,441"
060301,FREWSBURG,1,0,0,0,"1,384,840",0,0,0,0,0,"93,600",0,0,0.836,0,0,"856,989","802,142",0,0,0,0,0,0,0,0,0,0,"301,615"
060401,CASSADAGA VALL,1,0,0,0,"1,221,122",0,0,0,0,0,"455,000",0,"32,900",0.810,"26,649",0,0,0,0,0,0,0,0,0,0,0,0,0,"247,225"
060503,CHAUTAUQUA,1,0,0,"523,605","1,991,956",0,0,0,0,"6,608",0,267,0,0.621,0,0,0,0,0,0,"728,177","359,728",0,"157,504","77,808",0,0,0,"54,000"
060601,PINE VALLEY,1,0,0,0,"1,434,408",0,0,0,0,0,"90,800",0,0,0.808,0,0,"62,272","56,543",0,0,0,0,0,0,0,0,0,0,"99,112"
060701,CLYMER,1,0,0,0,"354,833",0,0,0,0,0,0,0,"20,505",0.738,"15,133",0,0,0,0,0,0,0,0,0,0,0,0,"125,219","56,436"
060800,DUNKIRK,1,0,0,0,"5,279,525",0,"10,884",0,0,0,"245,000",0,0,0.886,0,0,"72,144","70,701",0,0,0,0,0,0,0,0,"10,884",0,"2,478,781"
061001,BEMUS POINT,1,0,0,0,"1,137,515",0,0,0,0,0,"69,200",0,0,0.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"175,500"
061101,FALCONER,1,0,0,0,"1,852,887",0,0,0,0,0,"91,000",0,0,0.810,0,0,"47,576","43,294",0,0,0,0,0,0,0,0,0,0,"381,712"
061501,SILVER CREEK,1,0,0,0,"2,435,966",0,0,0,0,0,"91,900",0,0,0.819,0,0,"126,576","116,323",0,0,0,0,0,0,0,0,0,0,"117,145"
061503,FORESTVILLE,1,0,0,0,"910,401",0,0,0,0,0,"86,100",0,0,0.761,0,0,"756,860","651,656",0,0,0,0,0,0,0,0,0,0,"153,091"
061601,PANAMA,1,0,0,0,"970,852",0,0,0,0,0,0,0,0,0.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"77,100"
061700,JAMESTOWN,1,0,0,0,"6,436,464",0,0,0,0,0,"720,300",0,0,0.946,0,0,"3,225,857","3,161,340",0,0,0,0,0,0,0,0,0,0,"3,066,147"
062201,FREDONIA,1,0,0,0,"921,867",0,0,0,0,0,"82,700",0,"78,699",0.727,"57,214",0,0,0,0,0,0,0,0,0,0,0,0,0,"302,479"
062301,BROCTON,1,0,0,0,"1,751,439",0,0,0,0,0,"92,900",0,0,0.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"447,419"
062401,RIPLEY,1,0,0,0,"255,402",0,0,0,0,0,"95,000",0,"35,114",0.850,"29,847",0,"533,728","507,042",0,0,0,0,0,0,0,0,0,0,"194,319"
062601,SHERMAN,1,0,0,0,"724,459",0,0,0,0,0,"88,000",0,0,0.780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125,508"
062901,WESTFIELD,1,0,0,0,"577,244",0,0,0,0,0,"86,100",0,0,0.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"71,567"
070600,ELMIRA,1,0,0,0,"8,136,306",0,0,0,0,0,"98,000","33,355","109,000",0.895,"97,555",0,"2,745,728","2,690,813",0,0,0,0,0,0,0,0,0,0,"2,265,034"
070901,HORSEHEADS,1,0,0,0,"6,594,866",0,0,0,0,0,0,0,"225,757",0.704,"158,933",0,"2,509,738","2,017,829",0,0,0,0,0,0,0,0,0,"107,832","745,436"
070902,ELMIRA HEIGHTS,1,0,0,0,"1,153,985",0,0,0,0,0,"92,800","28,681","29,612",0.828,"24,519",0,"933,397","866,192",0,0,0,0,0,0,0,0,0,0,"340,155"
080101,AFTON,1,0,0,0,"2,152,677",0,0,0,0,0,0,0,0,0.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"81,817"
080201,BAINBRIDGE GUI,1,0,0,0,"1,527,339",0,0,0,0,0,"88,100","30,590",0,0.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"128,230"
080601,GREENE,1,0,0,0,"3,924,315",0,0,0,0,0,0,0,0,0.800,0,0,0,0,0,0,0,0,0,0,0,0,0,"68,438","123,521"
081003,UNADILLA,1,0,0,"232,890","1,880,916","6,060",0,0,0,0,"91,085",0,0,0.812,0,0,0,0,0,0,"251,526","192,508",0,1,1,0,0,0,"358,434"
081200,NORWICH,1,0,0,0,"1,076,423",0,"9,989",0,0,0,"128,520","31,920",0,0.852,0,0,"2,062,050","1,963,072",0,0,0,0,0,0,0,0,"9,989",0,"597,491"
081401,GRGETWN-SO OTS,1,0,0,0,"1,301,440",0,0,0,0,0,"86,300","27,020",0,0.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
081501,OXFORD,1,0,0,0,"1,917,297",0,0,0,0,0,0,0,"25,313",0.858,"21,719",0,"43,132","41,320",0,0,0,0,0,0,0,0,0,0,"136,589"
082001,SHERBURNE EARL,1,0,0,0,"2,600,856",0,0,0,0,0,0,0,0,0.855,0,0,"88,412","84,433",0,0,0,"1,995,290",0,0,"49,011",0,0,0,"539,230"
090201,AUSABLE VALLEY,1,0,0,0,"2,048,794",0,0,0,0,0,0,0,0,0.700,0,0,0,0,0,0,0,"2,560,992",0,0,"460,979",0,0,0,"387,951"
090301,BEEKMANTOWN,1,0,0,0,"2,111,601",0,0,0,0,0,"80,100","26,880",0,0.701,0,0,"63,406","50,788",0,0,0,0,0,0,0,0,0,0,"618,792"
