DBSFH1, 04/13/24,INC,REP,E(WM0265) 05 2024-25 CURRENT YR BUILDING AID RATIO,F(WE0081) 03 SEL BLDG AID RATIO 23-24 BL AID<7/1/00,G(NO0391) 05 SEL BLDG AID RATIO 24-25 BL AID<7/1/98,H(MA0015) 0A LEGEND FOR CURRENT YEAR BLDG AID,I(NO0396) 05 INCENTIVE DECIMAL FOR EXP>=7/1/98,"J(NO0397) 05 SEL AID RATIO, APPR >= 7/1/98",K(WE0096) 03 SEL BLDG AID RATIO FOR 99-00 BLDG AID,L(NO0400) 05 LOW INCOME BLDG AID RATIO >= 7/1/00,M(NO0402) 05 INCENTIVE DECIMAL FOR EXP >= 7/1/00,N(NO0403) 05 SEL BLDG AID RATIO FOR EXP >= 7/1/00,O(NO0406) 05 LOW INCOME BLDG AID RATIO >= 7/1/05,"P(MI0014) 00 2003 NEED/RESOURCE CAPACITY CODE, 1-4=HI NEED","Q(NO0407) 05 HNSBAR: HIGH NEED, FOR EXP >= 7/1/05",R(NO0408) 05 INCENTIVE DECIMAL FOR EXP >= 7/1/05,S(NO0409) 05 SEL BLDG AID RATIO FOR EXP >= 7/1/05,T(NO0580) 02 REORG BLDG INCENTVE RATIO(.25 OR .30),U(NO0696) 00 BLDG LEASE EXPENDITURES,V(NO0697) 00 BLDG AMORT-RETRO EXPENDITURES,W(NO0698) 00 BLDG AMORT-PROSP EXPENDITURES,X(NO0695) 00 BLDG AMORT-CAP OUTLAY EXPENDITURES,Y(NO0699) 00 BLDG 2023 DEFERD JULY EXPENDITURES,Z(NO0703) 00 BLDG 2022 DEFERD JULY EXPENDITURES,AA(NO0700) 00 BLDG NYC UNCONFIRMED EXPENDITURES,AB(NO0701) 00 BLDG REFUND/REFIN EXPENDITURES (A.R.),AC(NO0702) 00 BLDG REFUND/REFIN EXPENDITURES (100%),AD(NO0567) 00 BLDG EXPENDITURE FOR 3 CAP OUTLAY EXCEPTIONS,"AE(B10171) 00 BLDG EXPENDITURE FOR METAL DETECTORS,ETC.","AF(NO0386) 05 AID RATIO FOR METAL DETECTORS,ETC. AID",AG(NO0727) 00 BLDG EXP. FOR WATER TESTING,AH(NO0728) 05 AID RATIO FOR WATER TESTING
022902,BOLIVAR-RICHBG,1,0,0.859,0.919,0.919,93-94 BLD AR ,0.031,0.950,0.919,0.000,0.091,0.950,0.000,4,0.042,0.079,0.980,0.30,0,0,"772,164",0,0,0,0,0,0,"100,000",0,0.959,0,0.901
030101,CHENANGO FORKS,1,0,0.804,0.851,0.851,09-10 BLD AR ,0.099,0.950,0.847,0.000,0.100,0.904,0.000,5,0.000,0.100,0.904,0.00,0,0,"2,163,812",0,0,0,0,0,0,"100,000","35,000",0.904,0,0.804
030200,BINGHAMTON,1,0,0.824,0.836,0.836,09-10 BLD AR ,0.100,0.936,0.686,0.000,0.100,0.924,0.000,3,0.041,0.100,0.965,0.00,0,0,"7,507,346",0,0,0,0,0,0,"100,000",0,0.924,0,0.865
030501,HARPURSVILLE,1,0,0.762,0.874,0.874,93-94 BLD AR ,0.076,0.950,0.874,0.000,0.100,0.874,0.000,4,0.038,0.100,0.912,0.00,0,0,"2,279,662",0,0,0,0,0,0,"100,000",0,0.862,0,0.812
030601,SUSQUEHANNA VA,1,0,0.777,0.824,0.824,10-11 BLD AR ,0.100,0.924,0.798,0.000,0.100,0.877,0.000,5,0.000,0.100,0.877,0.00,0,0,"3,664,658",0,0,0,0,0,0,"100,000",0,0.877,0,0.777
030701,CHENANGO VALLE,1,0,0.784,0.798,0.798,NO DATA      ,0.100,0.898,0.705,0.000,0.100,0.884,0.000,5,0.000,0.100,0.884,0.00,0,0,"2,125,460",0,0,0,0,0,0,"100,000",0,0.884,0,0.784
031101,MAINE ENDWELL,1,0,0.833,0.841,0.841,NO DATA      ,0.100,0.941,0.715,0.000,0.100,0.933,0.000,5,0.000,0.100,0.933,0.00,0,0,"6,455,178",0,0,0,0,0,0,"100,000","35,000",0.933,0,0.833
031301,DEPOSIT,1,0,0.350,0.605,0.605,93-94 BLD AR ,0.100,0.705,0.605,0.000,0.100,0.605,0.000,4,0.025,0.100,0.630,0.00,0,0,"1,779,520",0,0,0,0,0,0,"96,023",0,0.450,0,0.530
031401,WHITNEY POINT,1,0,0.837,0.872,0.872,93-94 BLD AR ,0.078,0.950,0.872,0.000,0.100,0.937,0.000,4,0.041,0.100,0.978,0.00,0,0,"3,926,396",0,0,0,0,0,0,"100,000","14,241",0.937,500,0.878
031501,UNION-ENDICOTT,1,0,0.792,0.812,0.812,10-11 BLD AR ,0.100,0.912,0.612,0.000,0.100,0.892,0.000,5,0.000,0.100,0.892,0.00,0,"616,062","6,233,806",0,"1,116","1,116",0,"4,080","7,540","100,000",0,0.892,0,0.792
