DBSFH1, 04/13/24,INC,REP,E(WM0265) 05 2024-25 CURRENT YR BUILDING AID RATIO,F(WE0081) 03 SEL BLDG AID RATIO 23-24 BL AID<7/1/00,G(NO0391) 05 SEL BLDG AID RATIO 24-25 BL AID<7/1/98,H(MA0015) 0A LEGEND FOR CURRENT YEAR BLDG AID,I(NO0396) 05 INCENTIVE DECIMAL FOR EXP>=7/1/98,"J(NO0397) 05 SEL AID RATIO, APPR >= 7/1/98",K(WE0096) 03 SEL BLDG AID RATIO FOR 99-00 BLDG AID,L(NO0400) 05 LOW INCOME BLDG AID RATIO >= 7/1/00,M(NO0402) 05 INCENTIVE DECIMAL FOR EXP >= 7/1/00,N(NO0403) 05 SEL BLDG AID RATIO FOR EXP >= 7/1/00,O(NO0406) 05 LOW INCOME BLDG AID RATIO >= 7/1/05,"P(MI0014) 00 2003 NEED/RESOURCE CAPACITY CODE, 1-4=HI NEED","Q(NO0407) 05 HNSBAR: HIGH NEED, FOR EXP >= 7/1/05",R(NO0408) 05 INCENTIVE DECIMAL FOR EXP >= 7/1/05,S(NO0409) 05 SEL BLDG AID RATIO FOR EXP >= 7/1/05,T(NO0580) 02 REORG BLDG INCENTVE RATIO(.25 OR .30),U(NO0696) 00 BLDG LEASE EXPENDITURES,V(NO0697) 00 BLDG AMORT-RETRO EXPENDITURES,W(NO0698) 00 BLDG AMORT-PROSP EXPENDITURES,X(NO0695) 00 BLDG AMORT-CAP OUTLAY EXPENDITURES,Y(NO0699) 00 BLDG 2023 DEFERD JULY EXPENDITURES,Z(NO0703) 00 BLDG 2022 DEFERD JULY EXPENDITURES,AA(NO0700) 00 BLDG NYC UNCONFIRMED EXPENDITURES,AB(NO0701) 00 BLDG REFUND/REFIN EXPENDITURES (A.R.),AC(NO0702) 00 BLDG REFUND/REFIN EXPENDITURES (100%),AD(NO0567) 00 BLDG EXPENDITURE FOR 3 CAP OUTLAY EXCEPTIONS,"AE(B10171) 00 BLDG EXPENDITURE FOR METAL DETECTORS,ETC.","AF(NO0386) 05 AID RATIO FOR METAL DETECTORS,ETC. AID",AG(NO0727) 00 BLDG EXP. FOR WATER TESTING,AH(NO0728) 05 AID RATIO FOR WATER TESTING
150203,CROWN POINT,1,0,0.734,0.846,0.846,93-94 BLD AR ,0.100,0.946,0.846,0.000,0.100,0.846,0.000,4,0.037,0.100,0.883,0.00,0,0,"199,708","2,274",0,0,0,0,0,0,"35,000",0.834,0,0.783
150601,KEENE,1,0,0.000,0.107,0.107,93-94 BLD AR ,0.100,0.207,0.107,0.000,0.100,0.107,0.000,5,0.000,0.100,0.107,0.00,0,0,"532,224",0,0,0,0,0,0,0,0,0.100,0,0.007
150801,MINERVA,1,0,0.000,0.362,0.362,91-92 BLD AR ,0.100,0.462,0.362,0.200,0.100,0.362,0.200,5,0.000,0.100,0.362,0.00,0,0,"228,584",0,0,0,0,0,0,"100,000",0,0.100,0,0.262
150901,MORIAH,1,0,0.828,0.883,0.883,93-94 BLD AR ,0.067,0.950,0.883,0.000,0.100,0.928,0.000,4,0.041,0.100,0.969,0.25,0,0,"1,299,304",0,0,0,0,0,0,0,"30,000",0.928,0,0.869
151001,NEWCOMB,0,0,0.000,0.211,0.211,87-88 BLD AR ,0.100,0.311,0.211,0.000,0.100,0.211,0.000,6,0.000,0.100,0.211,0.00,0,0,"493,382",0,0,0,0,0,0,0,0,0.100,0,0.111
151102,LAKE PLACID,1,0,0.000,0.299,0.299,93-94 BLD AR ,0.100,0.399,0.299,0.000,0.100,0.299,0.000,5,0.000,0.100,0.299,0.00,0,0,"1,437,358",0,0,0,0,0,0,0,0,0.100,0,0.199
151401,SCHROON LAKE,1,0,0.000,0.000,0.000,NO AID RATIO ,0.100,0.100,0.000,0.046,0.100,0.146,0.046,5,0.000,0.100,0.146,0.00,0,0,"508,666",0,0,0,0,0,0,0,0,0.100,0,0.046
151501,TICONDEROGA,1,0,0.205,0.523,0.523,93-94 BLD AR ,0.100,0.623,0.523,0.000,0.100,0.523,0.000,4,0.021,0.100,0.544,0.25,0,0,"1,864,626",0,0,0,0,0,0,"100,000",0,0.305,"2,500",0.444
151701,WILLSBORO,1,0,0.096,0.520,0.520,93-94 BLD AR ,0.100,0.620,0.520,0.000,0.100,0.520,0.000,5,0.000,0.100,0.520,0.00,0,"491,026","153,758",0,"17,116",0,0,"4,157","6,716","100,000",0,0.196,0,0.420
151801,BOQUET VALLEY,1,1,0.277,0.693,0.693,93-94 BLD AR ,0.100,0.793,0.693,0.000,0.100,0.693,0.000,5,0.000,0.100,0.693,0.30,0,0,"101,278",0,0,0,0,0,0,0,0,0.377,616,0.593
160101,TUPPER LAKE,1,0,0.571,0.784,0.784,93-94 BLD AR ,0.100,0.884,0.784,0.000,0.100,0.784,0.000,5,0.000,0.100,0.784,0.00,0,0,"779,390",0,0,0,0,0,0,"100,000",0,0.671,0,0.684
160801,CHATEAUGAY,1,0,0.765,0.818,0.818,93-94 BLD AR ,0.100,0.918,0.818,0.000,0.100,0.865,0.000,4,0.038,0.100,0.903,0.00,0,0,"1,551,780",0,0,0,0,0,0,"100,000",0,0.865,150,0.803
161201,SALMON RIVER,1,0,0.914,0.940,0.940,10-11 BLD AR ,0.010,0.950,0.930,0.000,0.036,0.950,0.000,4,0.045,0.021,0.980,0.00,0,0,"5,089,256",0,0,0,0,0,0,"250,000",0,1.000,0,0.959
161401,SARANAC LAKE,1,0,0.000,0.545,0.545,93-94 BLD AR ,0.100,0.645,0.545,0.000,0.100,0.545,0.000,5,0.000,0.100,0.545,0.25,0,0,"1,086,182",0,0,0,0,0,0,0,0,0.100,"2,500",0.445
161501,MALONE,1,0,0.803,0.822,0.822,93-94 BLD AR ,0.100,0.922,0.822,0.000,0.100,0.903,0.000,4,0.040,0.100,0.943,0.25,0,0,"5,514,082",0,"268,630",0,0,0,0,"100,000",0,0.903,0,0.843
161601,BRUSHTON MOIRA,1,0,0.867,0.907,0.907,93-94 BLD AR ,0.043,0.950,0.907,0.000,0.083,0.950,0.000,4,0.043,0.070,0.980,0.00,0,0,"1,973,392",0,0,0,0,0,0,"100,000","20,000",0.967,0,0.910
161801,ST REGIS FALLS,1,0,0.629,0.775,0.775,93-94 BLD AR ,0.100,0.875,0.775,0.000,0.100,0.775,0.000,4,0.033,0.100,0.808,0.00,0,"495,638","622,044","5,347",0,0,0,0,0,"100,000",0,0.729,0,0.708
170301,WHEELERVILLE,1,0,0.000,0.623,0.623,93-94 BLD AR ,0.100,0.723,0.623,0.000,0.100,0.623,0.000,5,0.000,0.100,0.623,0.00,0,0,"315,344",0,0,0,0,0,0,"100,000",0,0.100,700,0.523
170500,GLOVERSVILLE,1,0,0.857,0.877,0.877,09-10 BLD AR ,0.073,0.950,0.849,0.000,0.093,0.950,0.000,4,0.042,0.081,0.980,0.25,0,0,"6,635,219",0,0,0,0,0,0,0,0,0.957,0,0.899
170600,JOHNSTOWN,1,0,0.789,0.842,0.842,09-10 BLD AR ,0.100,0.942,0.833,0.000,0.100,0.889,0.000,4,0.039,0.100,0.928,0.25,0,0,"3,283,022",0,"89,305",0,0,0,0,"100,000",0,0.889,0,0.828
170801,MAYFIELD,1,0,0.674,0.814,0.814,93-94 BLD AR ,0.100,0.914,0.814,0.000,0.100,0.814,0.000,5,0.000,0.100,0.814,0.00,0,0,"1,401,806",0,0,0,0,0,0,"100,000","35,000",0.774,55,0.714
170901,NORTHVILLE,1,0,0.255,0.687,0.687,93-94 BLD AR ,0.100,0.787,0.687,0.000,0.100,0.687,0.000,5,0.000,0.100,0.687,0.00,0,0,"1,136,752",0,0,0,0,0,0,"100,000",0,0.355,0,0.587
171102,BROADALBIN-PER,1,0,0.701,0.813,0.813,93-94 BLD AR ,0.100,0.913,0.813,0.000,0.100,0.813,0.000,5,0.000,0.100,0.813,0.30,0,0,"3,021,082",0,0,0,0,0,0,0,"35,000",0.801,0,0.713
180202,ALEXANDER,1,0,0.774,0.834,0.834,09-10 BLD AR ,0.100,0.934,0.829,0.000,0.100,0.874,0.000,5,0.000,0.100,0.874,0.00,0,0,"1,488,419",0,0,0,0,0,0,0,"35,000",0.874,0,0.774
180300,BATAVIA,1,0,0.760,0.799,0.799,11-12 BLD AR ,0.100,0.899,0.771,0.000,0.100,0.860,0.000,3,0.038,0.100,0.898,0.00,0,0,"2,248,010",0,0,0,0,0,0,"100,000",0,0.860,0,0.798
180701,BYRON BERGEN,1,0,0.768,0.824,0.824,10-11 BLD AR ,0.100,0.924,0.823,0.000,0.100,0.868,0.000,5,0.000,0.100,0.868,0.00,0,0,"3,194,434",0,0,0,0,0,0,"100,000","20,000",0.868,0,0.768
180901,ELBA,1,0,0.790,0.861,0.861,10-11 BLD AR ,0.089,0.950,0.855,0.000,0.100,0.890,0.000,5,0.000,0.100,0.890,0.00,0,0,"587,080",0,0,0,0,0,0,"100,000",0,0.890,0,0.790
181001,LE ROY,1,0,0.800,0.827,0.827,09-10 BLD AR ,0.100,0.927,0.769,0.000,0.100,0.900,0.000,5,0.000,0.100,0.900,0.00,0,0,"3,125,432",0,0,0,0,0,0,"100,000",0,0.900,0,0.800
181101,OAKFIELD ALABA,1,0,0.814,0.874,0.874,93-94 BLD AR ,0.076,0.950,0.874,0.000,0.100,0.914,0.000,5,0.000,0.100,0.914,0.00,0,0,"3,058,740",0,0,0,0,0,0,"100,000","60,000",0.914,"2,500",0.814
181201,PAVILION,1,0,0.751,0.844,0.844,93-94 BLD AR ,0.100,0.944,0.844,0.000,0.100,0.851,0.000,5,0.000,0.100,0.851,0.00,"35,628",0,"524,254",0,0,0,0,0,0,"100,000",0,0.851,0,0.751
181302,PEMBROKE,1,0,0.722,0.817,0.817,93-94 BLD AR ,0.100,0.917,0.817,0.000,0.100,0.822,0.000,5,0.000,0.100,0.822,0.00,0,0,"2,627,316",0,0,0,0,0,0,"200,000",0,0.822,0,0.722
190301,CAIRO-DURHAM,1,0,0.480,0.697,0.697,07-08 BLD AR ,0.100,0.797,0.642,0.000,0.100,0.642,0.000,5,0.000,0.100,0.642,0.25,0,0,"2,916,531",0,0,0,0,0,0,"100,000","35,000",0.580,"10,200",0.542
190401,CATSKILL,1,0,0.478,0.667,0.667,93-94 BLD AR ,0.100,0.767,0.667,0.000,0.100,0.667,0.000,4,0.028,0.100,0.695,0.25,0,"1,135,859","3,381,682",0,0,0,0,"3,997","88,429",0,0,0.578,0,0.595
190501,COXSACKIE ATHE,1,0,0.526,0.710,0.710,93-94 BLD AR ,0.100,0.810,0.710,0.000,0.100,0.710,0.000,5,0.000,0.100,0.710,0.00,0,0,"2,166,704",0,0,0,0,0,0,"100,000",0,0.626,0,0.610
190701,GREENVILLE,1,0,0.603,0.667,0.667,93-94 BLD AR ,0.100,0.767,0.667,0.000,0.100,0.703,0.000,5,0.000,0.100,0.703,0.00,0,0,"1,923,282",0,0,0,0,0,0,0,0,0.703,0,0.603
190901,HUNTER TANNERS,1,0,0.000,0.052,0.052,07-08 BLD AR ,0.100,0.152,0.000,0.000,0.100,0.100,0.000,5,0.000,0.100,0.100,0.00,0,0,"498,884",0,"464,586",0,0,0,0,0,0,0.100,0,0.000
191401,WINDHAM ASHLAN,1,0,0.000,0.038,0.038,81-82 BLD AR ,0.100,0.138,0.038,0.000,0.100,0.100,0.000,5,0.000,0.100,0.100,0.00,0,0,"894,646",0,0,0,0,0,0,0,0,0.100,0,0.000
200401,INDIAN LAKE,1,0,0.000,0.089,0.089,93-94 BLD AR ,0.100,0.189,0.089,0.000,0.100,0.100,0.000,5,0.000,0.100,0.100,0.00,0,0,"340,596",0,0,0,0,0,0,"45,000",0,0.100,250,0.000
200601,LAKE PLEASANT,1,0,0.000,0.051,0.051,93-94 BLD AR ,0.100,0.151,0.051,0.000,0.100,0.100,0.000,6,0.000,0.100,0.100,0.00,"10,000","383,823","10,252",0,0,0,0,"4,509","1,596",0,0,0.100,0,0.000
200701,LONG LAKE,1,0,0.000,0.000,0.000,NO AID RATIO ,0.100,0.100,0.000,0.000,0.100,0.100,0.000,6,0.000,0.100,0.100,0.00,0,0,"333,496",0,"37,740",0,0,0,0,0,0,0.100,0,0.000
200901,WELLS,1,0,0.000,0.310,0.310,93-94 BLD AR ,0.100,0.410,0.310,0.087,0.100,0.310,0.087,5,0.000,0.100,0.310,0.00,0,0,"372,114",0,0,0,0,0,0,0,0,0.100,"1,000",0.210
210302,WEST CANADA VA,1,0,0.761,0.870,0.870,93-94 BLD AR ,0.080,0.950,0.870,0.000,0.100,0.870,0.000,4,0.038,0.100,0.908,0.00,0,0,"1,098,184",0,0,0,0,0,0,0,"13,364",0.861,"8,000",0.808
210402,FRANKFORT-SCHU,1,0,0.736,0.836,0.836,09-10 BLD AR ,0.100,0.936,0.800,0.000,0.100,0.836,0.000,5,0.000,0.100,0.836,0.00,0,0,"761,888",0,0,0,0,0,0,0,0,0.836,0,0.736
210601,HERKIMER,1,0,0.817,0.831,0.831,NO DATA      ,0.100,0.931,0.750,0.000,0.100,0.917,0.000,4,0.040,0.100,0.957,0.00,0,0,"2,408,369",0,0,0,0,0,0,"100,000",0,0.917,0,0.857
210800,LITTLE FALLS,1,0,0.825,0.841,0.841,NO DATA      ,0.100,0.941,0.831,0.000,0.100,0.925,0.000,4,0.041,0.100,0.966,0.00,0,0,"2,569,970",0,0,0,0,0,0,0,0,0.925,0,0.866
211003,DOLGEVILLE,1,0,0.755,0.836,0.836,93-94 BLD AR ,0.100,0.936,0.836,0.000,0.100,0.855,0.000,4,0.037,0.100,0.892,0.30,0,0,"753,848",0,0,0,0,0,0,"100,000","9,981",0.855,0,0.792
211103,POLAND,1,0,0.509,0.654,0.654,93-94 BLD AR ,0.100,0.754,0.654,0.000,0.100,0.654,0.000,4,0.027,0.100,0.681,0.00,0,0,"251,150",0,"176,336",0,0,0,0,0,"25,000",0.609,0,0.581
211701,VAN HORNSVILLE,1,0,0.657,0.796,0.796,10-11 BLD AR ,0.100,0.896,0.785,0.000,0.100,0.785,0.000,4,0.034,0.100,0.819,0.00,0,0,"257,585",0,0,0,0,0,0,"100,000","35,000",0.757,0,0.719
211901,TOWN OF WEBB,1,0,0.000,0.000,0.000,NO AID RATIO ,0.100,0.100,0.000,0.000,0.100,0.100,0.000,6,0.000,0.100,0.100,0.00,0,0,"81,330",0,"20,540",0,0,0,0,"100,000",0,0.100,0,0.000
212001,MT MARKHAM CSD,1,0,0.804,0.858,0.858,93-94 BLD AR ,0.092,0.950,0.858,0.000,0.100,0.904,0.000,4,0.040,0.100,0.944,0.25,0,0,"1,397,908",0,0,0,0,0,0,"100,000","35,000",0.904,0,0.844
212101,CENTRAL VALLEY,1,1,0.875,0.889,0.889,10-11 BLD AR ,0.061,0.950,0.883,0.000,0.075,0.950,0.000,3,0.043,0.062,0.980,0.30,0,"52,510","8,259,677",0,0,0,0,0,0,"100,000","35,000",0.975,0,0.918
220101,S. JEFFERSON,1,0,0.806,0.859,0.859,93-94 BLD AR ,0.091,0.950,0.859,0.000,0.100,0.906,0.000,5,0.000,0.100,0.906,0.25,0,0,"2,688,692",0,0,0,0,0,0,"100,000","115,000",0.906,"10,000",0.806
220202,ALEXANDRIA,1,0,0.273,0.539,0.539,91-92 BLD AR ,0.100,0.639,0.539,0.000,0.100,0.539,0.000,5,0.000,0.100,0.539,0.25,0,0,"943,324",0,0,0,0,0,0,"100,000","13,869",0.373,0,0.439
220301,INDIAN RIVER,1,0,0.878,0.931,0.931,93-94 BLD AR ,0.019,0.950,0.931,0.000,0.072,0.950,0.000,4,0.043,0.059,0.980,0.00,0,0,"6,363,828",0,0,0,0,0,0,0,0,0.978,0,0.921
220401,GENERAL BROWN,1,0,0.709,0.840,0.840,93-94 BLD AR ,0.100,0.940,0.840,0.000,0.100,0.840,0.000,5,0.000,0.100,0.840,0.00,0,0,"2,050,464",0,0,0,0,0,0,"100,000",0,0.809,0,0.740
220701,THOUSAND ISLAN,1,0,0.341,0.647,0.647,93-94 BLD AR ,0.100,0.747,0.647,0.000,0.100,0.647,0.000,5,0.000,0.100,0.647,0.25,0,0,"1,115,970",0,"53,234",0,0,0,0,"100,000","32,783",0.441,0,0.547
220909,BELLEVILLE-HEN,1,0,0.465,0.685,0.685,81-82 BLD AR ,0.100,0.785,0.685,0.000,0.100,0.685,0.000,4,0.029,0.100,0.714,0.30,0,0,"1,125,726",0,0,0,0,0,0,"100,000",0,0.565,0,0.614
221001,SACKETS HARBOR,1,0,0.549,0.796,0.796,93-94 BLD AR ,0.100,0.896,0.796,0.000,0.100,0.796,0.000,5,0.000,0.100,0.796,0.00,0,0,"683,692",0,0,0,0,0,0,0,0,0.649,"1,000",0.696
221301,LYME,1,0,0.391,0.656,0.656,93-94 BLD AR ,0.100,0.756,0.656,0.000,0.100,0.656,0.000,4,0.027,0.100,0.683,0.00,0,0,"462,280",0,0,0,0,0,0,0,0,0.491,0,0.583
221401,LA FARGEVILLE,1,0,0.514,0.697,0.697,93-94 BLD AR ,0.100,0.797,0.697,0.000,0.100,0.697,0.000,4,0.029,0.100,0.726,0.00,0,"44,737","1,236,522",0,0,0,0,0,0,0,0,0.614,0,0.626
222000,WATERTOWN,1,0,0.786,0.820,0.820,08-09 BLD AR ,0.100,0.920,0.796,0.000,0.100,0.886,0.000,3,0.039,0.100,0.925,0.25,0,"1,767,030","1,965,272",0,0,0,0,"2,356","56,354","100,000","35,000",0.886,0,0.825
222201,CARTHAGE,1,0,0.851,0.881,0.881,07-08 BLD AR ,0.069,0.950,0.860,0.000,0.099,0.950,0.000,4,0.042,0.087,0.980,0.00,0,0,"3,481,184",0,0,0,0,0,0,"100,000",0,0.951,0,0.893
230201,COPENHAGEN,1,0,0.747,0.887,0.887,93-94 BLD AR ,0.063,0.950,0.887,0.000,0.100,0.887,0.000,4,0.039,0.100,0.926,0.00,0,0,"1,312,616",0,0,0,0,0,0,"100,000","10,000",0.847,0,0.826
230301,HARRISVILLE,1,0,0.624,0.827,0.827,93-94 BLD AR ,0.100,0.927,0.827,0.000,0.100,0.827,0.000,5,0.000,0.100,0.827,0.00,0,0,"860,672",0,0,0,0,0,0,"100,000",0,0.724,0,0.727
230901,LOWVILLE,1,0,0.759,0.847,0.847,93-94 BLD AR ,0.100,0.947,0.847,0.000,0.100,0.859,0.000,4,0.037,0.100,0.896,0.00,0,0,"3,417,891",0,0,0,0,0,0,"100,000","35,000",0.859,0,0.796
231101,SOUTH LEWIS,1,0,0.650,0.818,0.818,93-94 BLD AR ,0.100,0.918,0.818,0.000,0.100,0.818,0.000,4,0.035,0.100,0.853,0.25,0,0,"3,613,842",0,0,0,0,0,0,"100,000",0,0.750,0,0.753
231301,BEAVER RIVER,1,0,0.688,0.821,0.821,93-94 BLD AR ,0.100,0.921,0.821,0.000,0.100,0.821,0.000,5,0.000,0.100,0.821,0.00,0,0,"1,633,650",0,0,0,0,0,0,"100,000",0,0.788,0,0.721
240101,AVON,1,0,0.752,0.785,0.785,NO DATA      ,0.100,0.885,0.748,0.000,0.100,0.852,0.000,5,0.000,0.100,0.852,0.00,0,0,"1,494,572",0,0,0,0,0,0,"100,000","6,000",0.852,0,0.752
240201,CALEDONIA MUMF,1,0,0.740,0.795,0.795,10-11 BLD AR ,0.100,0.895,0.776,0.000,0.100,0.840,0.000,5,0.000,0.100,0.840,0.00,0,0,"889,150",0,0,0,0,0,0,"100,000","35,000",0.840,0,0.740
240401,GENESEO,1,0,0.604,0.657,0.657,93-94 BLD AR ,0.100,0.757,0.657,0.000,0.100,0.704,0.000,5,0.000,0.100,0.704,0.00,0,0,"2,108,654",0,0,0,0,0,0,"100,000",0,0.704,0,0.604
240801,LIVONIA,1,0,0.666,0.778,0.778,93-94 BLD AR ,0.100,0.878,0.778,0.000,0.100,0.778,0.000,5,0.000,0.100,0.778,0.00,"72,000",0,"1,249,604",0,0,0,0,0,0,"660,820",0,0.766,0,0.678
240901,MOUNT MORRIS,1,0,0.843,0.861,0.861,NO DATA      ,0.089,0.950,0.818,0.000,0.100,0.943,0.000,4,0.042,0.095,0.980,0.00,0,0,"999,861",0,0,0,0,0,0,"100,000","35,000",0.943,0,0.885
241001,DANSVILLE,1,0,0.796,0.841,0.841,10-11 BLD AR ,0.100,0.941,0.840,0.000,0.100,0.896,0.000,5,0.000,0.100,0.896,0.00,0,0,"1,763,988",0,0,0,0,0,0,"100,000",0,0.896,"3,000",0.796
241101,DALTON-NUNDA,1,0,0.752,0.874,0.874,93-94 BLD AR ,0.076,0.950,0.874,0.000,0.100,0.874,0.000,4,0.038,0.100,0.912,0.25,0,0,"1,490,744",0,0,0,0,0,0,"100,000",0,0.852,0,0.812
241701,YORK,1,0,0.770,0.825,0.825,93-94 BLD AR ,0.100,0.925,0.825,0.000,0.100,0.870,0.000,5,0.000,0.100,0.870,0.00,0,0,"1,722,634",0,0,0,0,0,0,"100,000",0,0.870,0,0.770
250109,BROOKFIELD,1,0,0.791,0.867,0.867,93-94 BLD AR ,0.083,0.950,0.867,0.000,0.100,0.891,0.000,4,0.039,0.100,0.930,0.00,0,0,"606,268",0,0,0,0,0,0,0,"35,000",0.891,0,0.830
250201,CAZENOVIA,1,0,0.610,0.667,0.667,93-94 BLD AR ,0.100,0.767,0.667,0.000,0.100,0.710,0.000,5,0.000,0.100,0.710,0.00,0,0,"2,799,360",0,0,0,0,0,0,"100,000",0,0.710,0,0.610
250301,DE RUYTER,1,0,0.607,0.832,0.832,93-94 BLD AR ,0.100,0.932,0.832,0.000,0.100,0.832,0.000,4,0.036,0.100,0.868,0.00,0,0,"768,514",0,0,0,0,0,0,"100,000",0,0.707,0,0.768
250401,MORRISVILLE EA,1,0,0.745,0.849,0.849,93-94 BLD AR ,0.100,0.949,0.849,0.000,0.100,0.849,0.000,4,0.037,0.100,0.886,0.00,0,0,"873,042",0,0,0,0,0,0,"100,000","35,000",0.845,0,0.786
250701,HAMILTON,1,0,0.629,0.760,0.760,93-94 BLD AR ,0.100,0.860,0.760,0.000,0.100,0.760,0.000,5,0.000,0.100,0.760,0.00,0,0,"1,171,602",0,0,0,0,0,0,0,"35,000",0.729,0,0.660
250901,CANASTOTA,1,0,0.791,0.815,0.815,10-11 BLD AR ,0.100,0.915,0.814,0.000,0.100,0.891,0.000,5,0.000,0.100,0.891,0.00,0,0,"3,358,286",0,0,0,0,0,0,"100,000","35,000",0.891,"35,000",0.791
251101,MADISON,1,0,0.781,0.848,0.848,93-94 BLD AR ,0.100,0.948,0.848,0.000,0.100,0.881,0.000,5,0.000,0.100,0.881,0.00,0,0,"957,314",0,0,0,0,0,0,0,0,0.881,0,0.781
251400,ONEIDA CITY,1,0,0.774,0.817,0.817,93-94 BLD AR ,0.100,0.917,0.817,0.000,0.100,0.874,0.000,5,0.000,0.100,0.874,0.30,0,0,"3,455,772",0,0,0,0,0,0,"100,000",0,0.874,0,0.774
251501,STOCKBRIDGE VA,1,0,0.843,0.882,0.882,93-94 BLD AR ,0.068,0.950,0.882,0.000,0.100,0.943,0.000,4,0.042,0.095,0.980,0.00,0,"45,491","1,027,626","1,027",0,0,0,291,"2,492",0,0,0.943,0,0.885
251601,CHITTENANGO,1,0,0.760,0.818,0.818,93-94 BLD AR ,0.100,0.918,0.818,0.000,0.100,0.860,0.000,5,0.000,0.100,0.860,0.00,0,0,"2,394,096",0,0,0,0,0,0,"100,000",0,0.860,0,0.760
260101,BRIGHTON,1,0,0.691,0.710,0.710,NO DATA      ,0.100,0.810,0.425,0.000,0.100,0.791,0.000,6,0.000,0.100,0.791,0.25,0,0,"4,343,154",0,0,0,0,0,0,0,0,0.791,0,0.691
260401,GATES CHILI,1,0,0.696,0.755,0.755,10-11 BLD AR ,0.100,0.855,0.614,0.000,0.100,0.796,0.000,5,0.000,0.100,0.796,0.00,0,0,"10,262,120",0,"159,478",0,0,0,0,"100,000",0,0.796,"1,200",0.696
260501,GREECE,1,0,0.769,0.788,0.788,22-23 BLD AR ,0.100,0.888,0.690,0.000,0.100,0.869,0.000,5,0.000,0.100,0.869,0.00,0,"603,374","11,119,854",0,0,0,0,0,0,"100,000",0,0.869,"5,000",0.769
260801,E. IRONDEQUOIT,1,0,0.713,0.744,0.744,10-11 BLD AR ,0.100,0.844,0.468,0.000,0.100,0.813,0.000,5,0.000,0.100,0.813,0.00,0,"1,716,651","9,230,002",0,"366,218",0,0,0,0,0,0,0.813,"20,000",0.713
260803,W. IRONDEQUOIT,1,0,0.783,0.795,0.795,22-23 BLD AR ,0.100,0.895,0.602,0.000,0.100,0.883,0.000,5,0.000,0.100,0.883,0.00,0,"34,434","1,527,560",0,0,0,0,886,"6,604","100,000","35,000",0.883,0,0.783
260901,HONEOYE FALLS,1,0,0.690,0.742,0.742,10-11 BLD AR ,0.100,0.842,0.686,0.000,0.100,0.790,0.000,5,0.000,0.100,0.790,0.25,0,0,"5,534,074",0,0,0,0,0,0,"100,000","5,000",0.790,0,0.690
261001,SPENCERPORT,1,0,0.759,0.799,0.799,10-11 BLD AR ,0.100,0.899,0.725,0.000,0.100,0.859,0.000,5,0.000,0.100,0.859,0.00,0,0,"3,057,650",0,0,0,0,0,0,0,0,0.859,0,0.759
261101,HILTON,1,0,0.776,0.802,0.802,10-11 BLD AR ,0.100,0.902,0.755,0.000,0.100,0.876,0.000,5,0.000,0.100,0.876,0.00,0,0,"4,558,070",0,0,0,0,0,0,"100,000","35,000",0.876,0,0.776
261201,PENFIELD,1,0,0.701,0.705,0.705,NO DATA      ,0.100,0.805,0.598,0.000,0.100,0.801,0.000,5,0.000,0.100,0.801,0.00,0,0,"3,592,956",0,0,0,0,0,0,0,"35,000",0.801,0,0.701
261301,FAIRPORT,1,0,0.677,0.734,0.734,10-11 BLD AR ,0.100,0.834,0.682,0.000,0.100,0.777,0.000,6,0.000,0.100,0.777,0.00,0,0,"7,906,176",0,0,0,0,0,0,"98,000","30,000",0.777,"9,000",0.677
261313,EAST ROCHESTER,1,0,0.697,0.740,0.740,10-11 BLD AR ,0.100,0.840,0.639,0.000,0.100,0.797,0.000,5,0.000,0.100,0.797,0.00,0,0,"1,788,106",0,0,0,0,0,0,0,"1,596",0.797,0,0.697
261401,PITTSFORD,1,0,0.626,0.649,0.649,22-23 BLD AR ,0.100,0.749,0.473,0.000,0.100,0.726,0.000,6,0.000,0.100,0.726,0.00,0,0,"5,404,774",0,0,0,0,0,0,0,"35,000",0.726,"2,000",0.626
261501,CHURCHVILLE CH,1,0,0.763,0.808,0.808,10-11 BLD AR ,0.100,0.908,0.765,0.000,0.100,0.863,0.000,5,0.000,0.100,0.863,0.00,0,0,"8,894,262",0,0,0,0,0,0,"100,000","35,000",0.863,0,0.763
261600,ROCHESTER,1,1,0.864,0.881,0.881,10-11 BLD AR ,0.069,0.950,0.719,0.000,0.086,0.950,0.000,2,0.043,0.073,0.980,0.00,0,0,"76,044,372",0,0,0,0,0,0,"200,000","95,000",0.964,"100,000",0.907
261701,RUSH HENRIETTA,1,0,0.623,0.636,0.636,22-23 BLD AR ,0.100,0.736,0.531,0.000,0.100,0.723,0.000,5,0.000,0.100,0.723,0.00,0,0,"5,165,218",0,0,0,0,0,0,"100,000","20,013",0.723,0,0.623
261801,BROCKPORT,1,0,0.761,0.826,0.826,10-11 BLD AR ,0.100,0.926,0.795,0.000,0.100,0.861,0.000,5,0.000,0.100,0.861,0.00,0,0,"3,839,590",0,0,0,0,0,0,"100,000","35,000",0.861,0,0.761
261901,WEBSTER,1,0,0.647,0.711,0.711,09-10 BLD AR ,0.100,0.811,0.622,0.000,0.100,0.747,0.000,6,0.000,0.100,0.747,0.00,0,"594,828","7,899,650",0,0,0,0,"1,376","4,116",0,0,0.747,"1,500",0.647
