DBSFK1, 04/13/24,INC,REP,E(WM0182) 05 COMBINED WEALTH RATIO (CWR),F(K10134) 00 2023-24 CHARTER SCH ENR W/O BOE APPROVED,G(K20134) 00 2022-23 CHARTER SCH ENR W/O BOE APPROVED,H(K30134) 00 2021-22 CHARTER SCH ENR W/O BOE APPROVED,I(K20135) 00 2020-21 CHARTER SCH ENR W/O BOE APPROVED,J(NO0881) 00 INCREASE FROM: 22-23 TO 23-24,K(NO0886) 00 INCREASE FROM: 21-22 TO 22-23,L(NO0891) 00 INCREASE FROM: 20-21 TO 21-22,M(NO0882) 00 2023-24 TOTAL RES PUBLIC ENR,N(NO0887) 00 2022-23 TOTAL RES PUBLIC ENR,O(NO0892) 00 2021-22 TOTAL RES PUBLIC ENR,P(E10008) 00 23-24 PYMTS TO CH SCH (EST),Q(E20008) 00 22-23 PYMTS TO CH SCH (PRELIM),R(E30008) 00 21-22 PYMTS TO CH SCH (ACTUAL),S(E10001) 00 2023-24 TGFE (EST),T(E20001) 00 2022-23 TGFE (PRELIM),U(E30001) 00 2021-22 TGFE (ACTUAL),V(E10007) 00 23-24 CH SCH TOT BASIC TUIT/PUPIL,W(NO0885) 00 AID1 @ 23-24 TUITION/P*.8*INCR,X(NO0890) 00 AID2 @ 23-24 TUITION/P*.6*INCR,Y(NO0895) 00 AID3 @ 23-24 TUITION/P*.4*INCR,Z(FA0013) 00 24-25 TRANSTN AID FOR CHARTER SCH PYMTS
420501,JORDAN ELBRIDG,1,0,0.558,0,0,0,0,0,0,0,"1,069","1,095","1,143",0,0,0,"35,973,766","32,822,403","31,120,475","14,484",0,0,0,0
420601,FABIUS-POMPEY,1,0,0.691,0,0,0,1,0,0,0,611,619,630,0,0,0,"20,839,633","19,025,662","18,505,785","13,818",0,0,0,0
420701,WESTHILL,1,0,0.643,19,15,14,15,4,1,0,"1,737","1,756","1,745","180,000","214,507","143,415","47,545,936","42,333,579","39,532,945","12,980",0,0,0,0
420702,SOLVAY,1,0,0.493,32,25,27,21,7,0,6,"1,300","1,299","1,315","425,000","291,583","369,987","41,480,000","35,707,833","36,071,645","13,196","73,898",0,"31,670","105,568"
420807,LA FAYETTE,1,0,0.584,3,2,3,3,1,0,0,754,738,765,"50,000","61,802","54,924","28,627,854","26,989,560","25,108,191","19,604",0,0,0,0
420901,BALDWINSVILLE,1,0,0.628,4,3,5,4,1,0,1,"5,279","5,316","5,396","52,000","28,416","41,887","129,154,122","120,163,092","112,523,465","13,687",0,0,0,0
421001,FAYETTEVILLE,1,0,0.916,2,3,2,2,0,1,0,"4,167","4,166","4,136","50,000","36,972","26,374","104,966,845","98,703,726","99,634,104","13,346",0,0,0,0
421101,MARCELLUS,1,0,0.786,1,1,0,0,0,1,0,"1,335","1,367","1,413","16,180","7,880",0,"40,202,463","38,044,137","35,458,372","12,176",0,0,0,0
421201,ONONDAGA,1,0,0.645,7,5,2,0,2,3,2,765,776,777,"100,000","66,405","30,433","25,797,969","23,190,860","21,308,619","14,786",0,0,0,0
421501,LIVERPOOL,1,0,0.605,52,38,37,36,14,1,1,"6,792","6,855","6,853","615,924","526,583","595,567","184,364,465","167,070,201","170,260,947","14,609",0,0,0,0
421504,LYNCOURT,1,0,0.367,14,17,14,10,0,3,4,587,576,570,"354,000","233,328","258,223","15,650,000","12,076,725","12,502,252","20,816",0,"37,469","33,306","70,775"
421601,SKANEATELES,1,0,2.063,0,0,0,0,0,0,0,"1,201","1,228","1,224",0,0,0,"39,546,615","36,230,099","34,048,946","13,635",0,0,0,0
421800,SYRACUSE,1,1,0.289,"2,412","2,329","2,172","2,173",83,157,0,"19,690","19,902","20,110","36,338,133","32,840,183","30,257,077","521,409,588","451,084,408","421,458,349","14,128","938,099","1,330,858",0,"2,268,957"
421902,TULLY,1,0,0.760,4,3,4,1,1,0,3,721,715,703,"34,212","28,228","31,595","23,595,071","21,582,356","21,066,357","11,413",0,0,0,0
430300,CANANDAIGUA,1,0,0.788,0,0,0,0,0,0,0,"3,144","3,197","3,226",0,0,0,"88,296,097","78,423,532","76,462,706","12,078",0,0,0,0
430501,EAST BLOOMFIEL,1,0,0.703,0,0,0,0,0,0,0,743,792,781,0,0,0,"24,056,004","22,640,715","21,318,432","12,412",0,0,0,0
430700,GENEVA,1,0,0.478,0,0,0,1,0,0,0,"2,025","2,045","2,081",0,0,0,"68,042,864","52,635,139","57,688,980","15,910",0,0,0,0
430901,GORHAM-MIDDLES,1,0,0.985,0,0,0,0,0,0,0,"1,052","1,078","1,108",0,0,0,"36,542,330","37,136,779","33,674,864","14,696",0,0,0,0
431101,MANCHSTR-SHRTS,1,0,0.530,0,0,0,0,0,0,0,714,700,750,0,0,0,"22,332,392","21,075,610","19,140,686","13,329",0,0,0,0
431201,NAPLES,1,0,1.170,0,0,0,0,0,0,0,563,576,603,0,0,0,"23,051,951","20,112,213","23,726,000","14,923",0,0,0,0
431301,PHELPS-CLIFTON,1,0,0.468,0,0,0,0,0,0,0,"1,485","1,513","1,505",0,0,0,"44,472,644","38,527,413","36,757,344","13,460",0,0,0,0
431401,HONEOYE,1,0,1.110,0,0,1,0,0,0,1,546,545,534,0,0,"2,289","19,158,026","16,407,342","16,020,250","13,434",0,0,0,0
431701,VICTOR,1,0,0.855,1,1,1,2,0,0,0,"4,184","4,180","4,235","45,000","13,971","11,631","98,927,682","85,207,518","76,224,602","12,403",0,0,0,0
440102,WASHINGTONVILL,1,0,0.673,2,2,2,2,0,0,0,"3,919","3,907","3,836",0,0,0,"124,356,502","109,268,088","104,516,107","15,848",0,0,0,0
440201,CHESTER,1,0,0.745,0,0,0,0,0,0,0,934,954,975,0,0,0,"34,771,419","31,095,853","29,074,535","17,038",0,0,0,0
440301,CORNWALL,1,0,0.726,0,0,0,0,0,0,0,"3,033","3,006","3,031",0,0,0,"87,242,687","81,361,723","71,738,182","13,242",0,0,0,0
440401,PINE BUSH,1,0,0.594,0,1,1,1,0,0,0,"4,648","4,675","4,729",0,0,0,"135,629,641","122,416,470","130,558,924","13,392",0,0,0,0
440601,GOSHEN,1,0,0.849,0,0,0,0,0,0,0,"2,829","2,874","2,914",0,0,0,"89,119,147","80,700,507","83,602,166","17,870",0,0,0,0
440901,HIGHLAND FALLS,1,0,0.529,0,0,0,0,0,0,0,956,954,983,0,0,0,"38,217,832","35,516,171","33,583,866","17,287",0,0,0,0
441000,MIDDLETOWN,1,0,0.447,4,2,1,3,2,1,0,"7,452","7,530","7,496","63,100","61,523","60,268","253,659,540","229,859,258","229,356,789","16,816",0,0,0,0
441101,MINISINK VALLE,1,0,0.606,0,0,0,0,0,0,0,"3,589","3,596","3,529",0,0,0,"112,735,897","101,068,224","94,242,573","13,395",0,0,0,0
441201,MONROE WOODBUR,1,0,0.690,3,0,0,0,3,0,0,"6,503","6,605","6,685",0,0,"30,070","212,515,925","197,451,901","189,427,103","16,117",0,0,0,0
441202,KIRYAS JOEL,1,1,4.420,0,0,0,0,0,0,0,122,123,121,0,0,0,"29,497,297","23,750,140","22,824,122","47,592",0,0,0,0
441301,VALLEY-MONTGMR,1,0,0.670,0,0,0,0,0,0,0,"4,179","4,105","4,035",0,0,0,"125,850,000","127,204,529","105,754,227","13,787",0,0,0,0
441600,NEWBURGH,1,0,0.485,6,0,0,2,6,0,0,"10,831","10,782","10,723","192,610","93,336",486,"335,443,816","302,028,504","288,553,147","18,149",0,0,0,0
441800,PORT JERVIS,1,0,0.420,0,0,0,0,0,0,0,"2,371","2,412","2,478",0,0,0,"90,578,206","83,835,243","80,155,185","13,564",0,0,0,0
441903,TUXEDO,1,0,5.957,0,0,0,0,0,0,0,198,205,221,0,0,0,"14,620,629","16,182,488","13,969,685","16,975",0,0,0,0
442101,WARWICK VALLEY,1,0,0.880,0,0,0,0,0,0,0,"3,564","3,616","3,519",0,0,0,"109,127,179","99,289,881","101,772,957","13,908",0,0,0,0
442111,GREENWOOD LAKE,1,0,0.955,0,0,0,0,0,0,0,675,690,702,0,0,0,"28,096,185","26,119,687","25,063,025","19,851",0,0,0,0
442115,FLORIDA,1,0,0.841,0,0,0,0,0,0,0,700,690,734,0,0,0,"25,328,515","23,426,561","22,584,631","16,108",0,0,0,0
450101,ALBION,1,0,0.434,0,0,0,0,0,0,0,"1,722","1,704","1,730",0,0,0,"41,814,847","32,354,984","57,672,086","11,437",0,0,0,0
450607,KENDALL,1,0,0.510,0,0,0,0,0,0,0,642,651,678,0,0,0,"17,185,096","17,042,437","17,491,262","13,656",0,0,0,0
450704,HOLLEY,1,0,0.477,0,0,0,0,0,0,0,931,933,936,0,0,0,"28,920,001","29,188,560","24,413,170","11,011",0,0,0,0
450801,MEDINA,1,0,0.422,0,0,0,0,0,0,0,"1,353","1,371","1,337",0,0,0,"40,095,815","38,449,537","36,546,248","11,829",0,0,0,0
